รหัสสินค้า,ชื่อสินค้า,หมวดหมู่สินค้า,รูปแบบการขาย,
P11001,สุกรชำแหละ เนื้อสัน สันใน,เนื้อสัตว์,ขายปลีก,
P11002,สุกรชำแหละ เนื้อสัน สันนอก,เนื้อสัตว์,ขายปลีก,
P11003,สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง),เนื้อสัตว์,ขายปลีก,
P11004,สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง),เนื้อสัตว์,ขายปลีก,
P11005,สุกรชำแหละ เนื้อสามชั้น,เนื้อสัตว์,ขายปลีก,
P11006,สุกรชำแหละ มันแข็ง,เนื้อสัตว์,ขายปลีก,
P11007,สุกรชำแหละ เศษมัน,เนื้อสัตว์,ขายปลีก,
P11008,สุกรชำแหละ มันเปลว,เนื้อสัตว์,ขายปลีก,
P11009,ไก่สดทั้งตัว (รวมเครื่องใน),เนื้อสัตว์,ขายปลีก,
P11010,ไก่สดทั้งตัว (ไม่รวมเครื่องใน),เนื้อสัตว์,ขายปลีก,
P11011,ไก่สดชำแหละ เนื้อสันใน,เนื้อสัตว์,ขายปลีก,
P11012,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),เนื้อสัตว์,ขายปลีก,
P11013,ไก่สดชำแหละ น่อง สะโพก,เนื้อสัตว์,ขายปลีก,
P11014,ไก่สดชำแหละ ปีก ทั้งปีก (ปีกเต็ม),เนื้อสัตว์,ขายปลีก,
P11015,ไก่สดชำแหละ ปีกบน,เนื้อสัตว์,ขายปลีก,
P11016,ไก่สดชำแหละ เครื่องใน,เนื้อสัตว์,ขายปลีก,
P11017,ไก่สดชำแหละ หนัง,เนื้อสัตว์,ขายปลีก,
P11018,ไก่สดชำแหละ แข้ง ขา ตีน,เนื้อสัตว์,ขายปลีก,
P11019,ไก่สดชำแหละ โครงกระดูก,เนื้อสัตว์,ขายปลีก,
P11020,ไข่เป็ด ใหญ่,เนื้อสัตว์,ขายปลีก,
P11021,ไข่เป็ด กลาง,เนื้อสัตว์,ขายปลีก,
P11022,ไข่เป็ด เล็ก,เนื้อสัตว์,ขายปลีก,
P11023,ไข่เป็ดเค็ม ใหญ่,เนื้อสัตว์,ขายปลีก,
P11024,ไข่เป็ดเค็ม กลาง,เนื้อสัตว์,ขายปลีก,
P11025,ไข่ไก่ เบอร์ 0,เนื้อสัตว์,ขายปลีก,
P11026,ไข่ไก่ เบอร์ 1,เนื้อสัตว์,ขายปลีก,
P11027,ไข่ไก่ เบอร์ 2,เนื้อสัตว์,ขายปลีก,
P11028,ไข่ไก่ เบอร์ 3,เนื้อสัตว์,ขายปลีก,
P11029,ไข่ไก่ เบอร์ 4,เนื้อสัตว์,ขายปลีก,
P11030,ไข่ไก่ เบอร์ 5,เนื้อสัตว์,ขายปลีก,
P11031,เนื้อโค สะโพก,เนื้อสัตว์,ขายปลีก,
P11032,เนื้อโค สันนอก ,เนื้อสัตว์,ขายปลีก,
P11033,เนื้อโค สันใน,เนื้อสัตว์,ขายปลีก,
P11034,เนื้อกระบือ ธรรมดา,เนื้อสัตว์,ขายปลีก,
P11035,เนื้อกระบือ สันนอก สะโพก,เนื้อสัตว์,ขายปลีก,
P11036,เนื้อกระบือ สันใน,เนื้อสัตว์,ขายปลีก,
P11037,สุกรชำแหละ เนื้อแดง สะโพก (ไม่ได้ตัดแต่ง),เนื้อสัตว์,ขายปลีก,
P11038,สุกรชำแหละ เนื้อแดง ไหล่ (ไม่ได้ตัดแต่ง),เนื้อสัตว์,ขายปลีก,
P11039,เนื้อโค ติดกระดูก,เนื้อสัตว์,ขายปลีก,
P11040,เนื้อโค เลาะกระดูกขาหน้า,เนื้อสัตว์,ขายปลีก,
P11041,เนื้อโค เลาะกระดูกขาหลัง,เนื้อสัตว์,ขายปลีก,
P11042,เนื้อโค ส่วนน่อง,เนื้อสัตว์,ขายปลีก,
P11043,เนื้อโค สามชั้น,เนื้อสัตว์,ขายปลีก,
P11044,ไก่สดชำแหละ น่อง,เนื้อสัตว์,ขายปลีก,
P11045,ไก่สดชำแหละ สะโพก,เนื้อสัตว์,ขายปลีก,
P11046,ไก่สดชำแหละ เนื้ออก (ติดหนัง),เนื้อสัตว์,ขายปลีก,
P11047,เป็ดสด (ทั้งตัว) ขนาดไซส์ s,เนื้อสัตว์,ขายปลีก,
P11048,เป็ดสด (ทั้งตัว) ขนาดไซส์ M-MM,เนื้อสัตว์,ขายปลีก,
P11049,เป็ดสด (ทั้งตัว) ขนาดไซส์ L,เนื้อสัตว์,ขายปลีก,
P11050,เป็ดสด (ทั้งตัว) ขนาดไซส์ XL,เนื้อสัตว์,ขายปลีก,
P12001,กุ้งขาว (40 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12002,กุ้งขาว (50 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12003,กุ้งขาว (60 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12004,กุ้งขาว (70 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12005,กุ้งขาว (80 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12006,กุ้งแชบ๊วย (40-50 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12007,กุ้งเปลือกแข็ง (40-50 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12008,กุ้งก้ามกรามบ่อเลี้ยงไทย (ขนาดกลาง) 15-16 ตัว/กก.,สัตว์น้ำ,ขายปลีก,
P12009,ปลาหมึกกล้วย คละ,สัตว์น้ำ,ขายปลีก,
P12010,ปลาหมึกกระดอง คละ,สัตว์น้ำ,ขายปลีก,
P12011,หอยแครง คละ,สัตว์น้ำ,ขายปลีก,
P12012,หอยลาย คละ,สัตว์น้ำ,ขายปลีก,
P12013,หอยแมลงภู่ คละ,สัตว์น้ำ,ขายปลีก,
P12014,ปลาทูสด (9-12 ตัว/กก.),สัตว์น้ำ,ขายปลีก,
P12015,ปลาช่อน,สัตว์น้ำ,ขายปลีก,
P12016,ปลาดุก (พันธุ์บิ๊กอุย),สัตว์น้ำ,ขายปลีก,
P12017,ปลานิล,สัตว์น้ำ,ขายปลีก,
P12018,ปลาสวาย,สัตว์น้ำ,ขายปลีก,
P12019,ปลาทับทิม,สัตว์น้ำ,ขายปลีก,
P12020,ปลาทู (3 ตัว/เข่ง),สัตว์น้ำ,ขายปลีก,
P12021,เส้นก๋วยเตี๋ยว (เส้นใหญ่),สัตว์น้ำ,ขายปลีก,
P12022,เส้นก๋วยเตี๋ยว (เส้นเล็ก),สัตว์น้ำ,ขายปลีก,
P12023,ปลาทู (2 - 3 ตัว/เข่ง),สัตว์น้ำ,ขายปลีก,
P12024,ปลากระพงขาว (0.7-2 กก./ตัว),สัตว์น้ำ,ขายปลีก,
P13001,ผักคะน้า คละ,ผักสด,ขายปลีก,
P13002,ผักคะน้า คัด,ผักสด,ขายปลีก,
P13003,ผักบุ้งจีน คละ,ผักสด,ขายปลีก,
P13004,ผักบุ้งจีน คัด,ผักสด,ขายปลีก,
P13005,ผักกวางตุ้ง คละ,ผักสด,ขายปลีก,
P13006,ผักกวางตุ้ง คัด,ผักสด,ขายปลีก,
P13007,ผักกาดหอม คละ,ผักสด,ขายปลีก,
P13008,ผักกาดหอม คัด,ผักสด,ขายปลีก,
P13009,ผักกาดขาว (ลุ้ย) คละ,ผักสด,ขายปลีก,
P13010,ผักกาดขาว (ลุ้ย) คัด,ผักสด,ขายปลีก,
P13011,กะหล่ำปลี คละ,ผักสด,ขายปลีก,
P13012,กะหล่ำปลี คัด,ผักสด,ขายปลีก,
P13013,กะหล่ำดอก คละ,ผักสด,ขายปลีก,
P13014,กะหล่ำดอก คัด,ผักสด,ขายปลีก,
P13015,มะระจีน คละ,ผักสด,ขายปลีก,
P13016,มะระจีน คัด,ผักสด,ขายปลีก,
P13017,มะเขือเทศสีดา คละ,ผักสด,ขายปลีก,
P13018,มะเขือเทศสีดา คัด,ผักสด,ขายปลีก,
P13019,มะเขือเทศผลใหญ่ คละ,ผักสด,ขายปลีก,
P13020,มะเขือเทศผลใหญ่ คัด,ผักสด,ขายปลีก,
P13021,มะเขือเจ้าพระยา,ผักสด,ขายปลีก,
P13022,ถั่วฝักยาว คละ,ผักสด,ขายปลีก,
P13023,ถั่วฝักยาว คัด,ผักสด,ขายปลีก,
P13024,แตงกวา คละ,ผักสด,ขายปลีก,
P13025,แตงกวา คัด,ผักสด,ขายปลีก,
P13026,ฟักเขียว คละ,ผักสด,ขายปลีก,
P13027,ฟักเขียว คัด,ผักสด,ขายปลีก,
P13028,หัวผักกาด คละ,ผักสด,ขายปลีก,
P13029,หัวผักกาด คัด,ผักสด,ขายปลีก,
P13030,หน่อไม้ฝรั่ง คละ,ผักสด,ขายปลีก,
P13031,หน่อไม้ฝรั่ง คัด,ผักสด,ขายปลีก,
P13032,ข้าวโพดฝักอ่อน,ผักสด,ขายปลีก,
P13033,ผักชี คละ (บาท/ขีด),ผักสด,ขายปลีก,
P13034,ผักชี คัด (บาท/ขีด),ผักสด,ขายปลีก,
P13035,ต้นหอม คละ (บาท/ขีด),ผักสด,ขายปลีก,
P13036,ต้นหอม คัด (บาท/ขีด),ผักสด,ขายปลีก,
P13037,พริกสดชี้ฟ้า (บาท/ขีด),ผักสด,ขายปลีก,
P13038,พริกขี้หนูจินดา (แดง) (บาท/ขีด),ผักสด,ขายปลีก,
P13039,ขึ้นฉ่าย คละ (บาท/ขีด),ผักสด,ขายปลีก,
P13040,ขึ้นฉ่าย คัด (บาท/ขีด),ผักสด,ขายปลีก,
P13041,ผักกะเฉด,ผักสด,ขายปลีก,
P13042,ผักบุ้งไทย,ผักสด,ขายปลีก,
P13043,มะนาว เบอร์ 1-2,ผักสด,ขายปลีก,
P13044,มะนาว เบอร์ 3-4,ผักสด,ขายปลีก,
P13045,ขิง อ่อน,ผักสด,ขายปลีก,
P13046,ขิงแก่,ผักสด,ขายปลีก,
P13047,ผักคะน้า อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13048,ผักคะน้า อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13049,ผักบุ้งจีน อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13050,ผักบุ้งจีน อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13051,ผักกวางตุ้ง อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13052,ผักกวางตุ้ง อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13053,ผักกาดหอม อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13054,ผักกาดหอม อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13055,ผักกาดขาวปลี อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13056,ผักกาดขาวปลี อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13057,กะหล่ำปลี อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13058,กะหล่ำปลี อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13059,กระชายขาว คละ,ผักสด,ขายปลีก,
P13060,ผักชี อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13061,ผักชี อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13062,ต้นหอม อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13063,ต้นหอม อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13064,ขึ้นฉ่าย อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13065,ขึ้นฉ่าย อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13066,มะเขือเจ้าพระยา อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13067,มะเขือเจ้าพระยา อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13068,ถั่วฝักยาว อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13069,ถั่วฝักยาว อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,,,
,ผัก-ผลไม้อินทรีย์,ขายปลีก,,
P13070,แตงกวา อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13071,แตงกวา อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,,,
,ผัก-ผลไม้อินทรีย์,ขายปลีก,,
P13072,ฟักเขียว อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13073,ฟักเขียว อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13074,พริกขี้หนูจินดา อินทรีย์ ร้านเลมอนฟาร์ม,ผัก-ผลไม้อินทรีย์,ขายปลีก,
P13075,พริกขี้หนูจินดา อินทรีย์ ท็อปซูเปอร์มาร์เก็ต,ผัก-ผลไม้อินทรีย์,ขายปลีก,
